Order,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
1,Drake,"50,16,22,92,808","19,24,65,13,666",262,6,130,19.09.22
2,Bad Bunny,"44,36,90,32,140","5,39,19,90,975",163,5,118,20.09.22
3,Ed Sheeran,"38,15,36,82,361","2,79,12,78,201",240,10,62,19.09.22
4,The Weeknd,"34,76,77,79,741","4,28,89,03,657",186,8,72,19.09.22
5,Taylor Swift,"32,59,67,28,109","42,40,53,296",323,1,96,20.09.22
6,Justin Bieber,"32,46,59,98,885","10,81,62,02,075",225,6,58,20.09.22
7,Ariana Grande,"32,28,76,82,040","2,05,22,97,828",181,8,71,19.09.22
8,Eminem,"30,43,18,61,291","4,16,50,31,640",301,5,65,19.09.22
9,Post Malone,"29,83,22,77,109","2,72,80,18,288",98,9,57,19.09.22
10,BTS,"28,53,34,58,128","32,32,05,288",262,1,98,19.09.22
11,J Balvin,"25,89,21,90,469","9,95,03,47,777",242,3,66,19.09.22
12,Kanye West,"25,53,51,19,184","5,76,71,53,127",239,1,63,20.09.22
13,Billie Eilish,"23,68,49,86,780",0,65,4,47,20.09.22
14,Juice WRLD,"23,11,40,66,243","3,75,19,41,085",116,3,60,19.09.22
15,Coldplay,"22,21,48,35,214",0,299,5,34,20.09.22
16,Dua Lipa,"22,18,62,90,470","34,97,50,231",198,7,36,19.09.22
17,Imagine Dragons,"21,81,22,18,476","6,54,00,698",189,4,41,19.09.22
18,XXXTENTACION,"21,72,67,99,289","2,66,46,63,104",144,7,44,18.09.22
19,Ozuna,"21,11,92,72,574","7,51,46,55,612",215,1,51,17.09.22
20,Khalid,"20,97,37,35,166","2,92,34,19,376",119,7,40,15.09.22
21,Rihanna,"20,76,12,26,681","6,67,70,97,087",278,2,46,19.09.22
22,Travis Scott,"20,56,64,27,073","9,66,21,07,113",113,4,49,17.09.22
23,Maroon 5,"19,95,25,66,778","18,447",240,7,31,17.09.22
24,David Guetta,"19,10,48,97,589","1,13,16,03,410",705,1,46,19.09.22
25,Shawn Mendes,"18,96,47,77,185","4,68,09,153",126,5,34,19.09.22
26,Bruno Mars,"18,20,12,85,113","3,87,45,62,483",81,5,32,06.09.22
27,Daddy Yankee,"18,07,56,04,863","5,65,63,94,885",360,4,44,16.09.22
28,Calvin Harris,"17,82,03,11,936","41,93,38,360",238,3,29,03.09.22
29,Kendrick Lamar,"17,65,07,26,013","8,64,77,63,108",121,2,41,19.09.22
30,Sam Smith,"16,88,38,63,013","27,73,49,953",145,4,31,19.09.22
31,Queen,"16,55,72,04,478","3,51,25,587",557,4,24,20.09.22
32,Beyoncé,"15,59,31,14,022","1,94,99,01,038",366,1,36,19.09.22
33,Adele,"15,56,12,19,687","7,41,07,163",71,5,28,19.09.22
34,Future,"15,55,28,49,123","9,25,59,46,718",504,1,29,17.09.22
35,One Direction,"15,49,97,95,436",0,124,0,45,19.09.22
36,The Chainsmokers,"15,48,46,77,966","40,09,19,869",197,4,27,13.09.22
37,Chris Brown,"15,44,00,15,429","7,78,77,59,348",427,0,38,19.09.22
38,Lady Gaga,"14,89,76,62,581","9,47,39,265",314,1,27,19.09.22
39,J. Cole,"14,84,98,57,590","3,30,90,86,106",137,1,39,20.09.22
40,Nicki Minaj,"14,74,41,00,678","10,55,85,01,637",171,2,35,19.09.22
41,Anuel AA,"14,36,47,36,608","4,59,25,55,695",160,1,35,19.09.22
42,Halsey,"14,15,17,26,087","2,45,98,31,429",180,3,24,12.09.22
43,The Beatles,"14,00,14,04,418",0,792,0,39,19.09.22
44,Selena Gomez,"13,90,53,83,000","2,07,53,30,489",140,3,24,19.09.22
45,Sia,"13,60,12,70,394","3,05,43,17,056",323,2,26,19.09.22
46,Maluma,"13,55,14,69,480","7,41,45,76,492",195,0,34,18.08.22
47,Harry Styles,"13,34,74,20,670",0,39,4,35,20.09.22
48,Marshmello,"13,04,93,27,287","64,17,14,533",163,4,19,15.09.22
49,Lil Uzi Vert,"12,98,57,04,210","8,23,51,41,311",140,1,33,19.09.22
50,Linkin Park,"12,97,07,59,855","4,78,51,519",350,2,30,18.09.22
51,Twenty One Pilots,"12,94,91,46,668",0,90,3,36,18.09.22
52,Rauw Alejandro,"12,91,40,88,970","1,92,44,90,635",182,0,34,18.09.22
53,Katy Perry,"12,63,14,77,879","1,21,77,14,183",180,0,30,19.09.22
54,Kygo,"12,51,90,97,847","1,13,32,63,396",107,1,30,09.09.22
55,Avicii,"12,48,48,75,427","45,69,87,347",248,3,18,20.09.22
56,Lana Del Rey,"12,45,79,76,768","80,13,14,209",166,0,37,19.09.22
57,Farruko,"11,98,38,25,654","6,53,19,90,862",343,1,31,31.07.22
58,Doja Cat,"11,97,33,61,879","1,66,90,29,614",85,3,25,19.09.22
59,Camila Cabello,"11,82,22,54,851","2,18,82,98,508",61,2,24,19.09.22
60,Jason Derulo,"11,26,26,94,386","74,21,44,326",197,0,28,08.09.22
61,Arctic Monkeys,"11,24,97,48,739",0,134,1,24,19.09.22
62,KAROL G,"11,17,73,77,040","55,37,32,559",85,2,29,20.09.22
63,Red Hot Chili Peppers,"11,00,59,93,478",0,266,0,17,18.09.22
64,Shakira,"10,78,26,31,210","1,25,55,91,184",232,1,25,19.09.22
65,Demi Lovato,"10,66,86,11,459","1,42,51,00,886",251,1,23,19.09.22
66,Miley Cyrus,"9,94,05,59,934","93,10,30,339",197,1,17,18.09.22
67,OneRepublic,"9,92,65,40,057","21,93,14,451",167,1,27,28.08.22
68,Nicky Jam,"9,86,11,55,500","9,05,25,17,716",220,0,27,31.07.22
69,Michael Jackson,"9,75,46,80,636","54,71,96,557",327,1,21,19.09.22
70,Lil Baby,"9,67,00,90,585","8,73,67,14,891",181,1,21,19.09.22
71,Myke Towers,"9,66,74,86,409","4,14,58,35,762",168,0,28,20.09.22
72,Charlie Puth,"9,57,06,32,839","23,13,91,689",109,3,14,20.09.22
73,Pitbull,"9,42,60,02,918","3,06,28,23,873",394,1,21,10.09.22
74,Martin Garrix,"9,39,02,13,325","8,77,15,051",199,2,19,17.09.22
75,Sebastian Yatra,"9,36,54,02,828","85,02,01,743",126,0,30,19.09.22
76,DaBaby,"9,32,63,24,913","4,75,73,36,377",157,2,18,18.09.22
77,21 Savage,"9,28,98,20,129","6,01,91,52,179",162,0,24,19.09.22
78,Mac Miller,"9,18,73,72,325","69,96,21,455",221,0,21,13.09.22
79,Panic! At The Disco,"9,10,74,46,450","66,96,06,481",146,1,20,06.09.22
80,Pop Smoke,"9,09,73,23,859","93,03,02,921",99,0,19,06.09.22
81,Cardi B,"9,06,63,63,643","6,16,39,98,179",70,2,18,17.09.22
82,Sech,"9,01,14,36,885","2,90,03,20,709",123,0,25,31.07.22
83,Lil Wayne,"8,97,01,28,688","14,16,02,44,567",476,0,19,17.09.22
84,Young Thug,"8,95,62,48,071","9,57,65,40,270",366,0,20,17.09.22
85,Olivia Rodrigo,"8,95,46,31,138","16,91,988",37,2,13,19.09.22
86,Metallica,"8,89,02,83,866","71,16,668",814,0,16,19.09.22
87,G-Eazy,"8,84,78,85,490","2,30,93,56,739",224,1,17,25.08.22
88,Ellie Goulding,"8,82,68,49,897","63,94,00,676",167,1,16,06.09.22
89,Lil Nas X,"8,77,81,49,366",0,34,3,11,16.09.22
90,Major Lazer,"8,75,87,54,488","61,40,69,138",269,3,14,05.09.22
91,Alan Walker,"8,72,79,32,813","1,85,24,90,942",170,1,18,01.09.22
92,Wiz Khalifa,"8,69,54,22,254","7,04,00,15,281",461,1,19,18.09.22
93,Lil Peep,"8,69,17,21,490","33,52,77,695",104,0,23,18.09.22
94,Diplo,"8,49,60,96,848","1,75,70,02,014",397,0,24,13.09.22
95,Fall Out Boy,"8,45,14,31,705","3,87,56,715",199,0,18,13.09.22
96,Elton John,"8,43,74,42,330","31,83,23,546",936,1,17,19.09.22
97,AC/DC,"8,28,34,20,177",0,313,3,10,19.09.22
98,P!nk,"8,24,38,02,966","66,37,99,734",227,0,23,18.09.22
99,John Mayer,"8,24,34,43,329","51,48,93,335",208,0,20,16.09.22
100,Logic,"8,22,11,59,539","1,94,03,69,157",193,1,14,11.09.22
101,Artist,Lead Streams,Feats,Tracks,1b,100m,Update
102,Migos,"8,21,27,30,428","3,41,37,43,336",283,0,18,20.09.22
103,Trippie Redd,"8,16,98,54,684","3,23,71,10,398",197,0,24,15.09.22
104,Gunna,"8,13,64,53,038","4,66,92,27,285",178,2,15,14.09.22
105,Tyga,"8,13,60,81,475","4,14,40,77,151",303,1,20,31.07.22
106,James Arthur,"8,09,46,63,482","7,73,43,574",147,1,14,18.09.22
107,Little Mix,"8,02,57,05,397","1,23,93,008",205,0,21,20.09.22
108,Macklemore,"7,93,47,84,607","8,30,73,903",103,1,13,20.09.22
109,ZAYN,"7,92,65,81,878","23,88,14,490",85,3,16,18.09.22
110,DJ Snake,"7,89,39,87,604","1,94,26,95,289",142,2,11,31.07.22
111,Lauv,"7,86,01,50,086","14,73,85,883",108,1,21,12.08.22
112,Kodak Black,"7,85,39,51,418","1,96,98,74,771",243,0,16,19.09.22
113,"Tyler, The Creator","7,85,25,72,852","1,59,20,57,360",154,0,21,18.09.22
114,Frank Ocean,"7,84,21,80,179","2,34,20,80,949",45,0,23,19.09.22
115,A$AP Rocky,"7,78,86,10,912","5,15,65,11,594",99,0,19,20.09.22
116,YoungBoy Never Broke Again,"7,76,27,62,379","1,35,50,24,452",416,0,8,19.09.22
117,NF,"7,71,54,73,739","13,58,47,234",81,1,18,12.09.22
118,Tiësto,"7,71,38,21,346","76,00,09,949",653,0,16,21.08.22
